,station,model MAE,baseline mean MAE,baseline median MAE,model MSE,baseline mean MSE,baseline median MSE,model MAPE,baseline mean MAPE,baseline median MAPE,model MASE,baseline mean MASE,baseline median MASE,model type
59,Sörnäinen (M),2.7642857142857147,8.750126198889452,6.0476190476190474,16.05285714285714,90.35938203272666,43.07142857142857,6.55014242056274,29.659063344169606,21.138088845753348,0.4230163975939037,1.3390247050141484,0.9254622307394618,Light Gradient Boosting Machine
60,Säterinrinne,0.27857142857142864,0.5485469853340574,0.14285714285714285,0.21476190476190485,0.30316633251270697,0.14285714285714285,1.4653679653679654,4.924386450051848,0.12987012987012986,0.37517376989207984,0.7387708118743569,0.1923968050728614,Light Gradient Boosting Machine
61,Säterinniitty,0.5380952380952382,0.7073601303639326,0.40476190476190477,0.61,0.6510332870009895,0.6190476190476191,2.001802089359693,5.821867526191964,0.2951503181917928,0.572860837992417,0.7530617042386604,0.4309130197288092,Bayesian Ridge
62,Säteri,0.48333333333333334,1.030904852435271,0.2857142857142857,0.6385714285714285,1.2016335270789487,0.4523809523809524,2.941505243348561,9.459788818909473,0.19756485194273207,0.4004091187538287,0.8540352485847987,0.23669504556876572,Gradient Boosting Regressor
63,Sähkömies,0.6119047619047618,1.3560259644696733,0.7142857142857143,0.9004761904761903,2.176924237584784,1.6904761904761905,2.3845342872146356,10.20432098944432,0.3876208948639179,0.3936855299648268,0.8724360941505436,0.45955509334415584,Light Gradient Boosting Machine
64,Suurpellonaukio,0.40952380952380957,0.7348299695153999,0.30952380952380953,0.5480952380952381,0.6328156789236828,0.47619047619047616,1.0,6.252141928889875,0.21920987358775376,0.43863716340807685,0.7870695815959361,0.33152808862238364,Light Gradient Boosting Machine
65,Suomenlahdentie,1.7071428571428573,4.13552217953196,2.4523809523809526,6.25761904761905,20.61424959029588,12.428571428571429,5.875757030825879,22.51134358691053,8.203730427005056,0.47597100084814203,1.1530309971339427,0.6837519259045833,Gradient Boosting Regressor
66,Stenbäckinkatu,1.0738095238095238,2.690371890402452,1.7261904761904763,2.662380952380952,8.775179810729556,4.630952380952381,4.040397608713085,17.807975309547317,10.029074237461092,0.3676378008996259,0.9210966968152667,0.5909920302710173,Light Gradient Boosting Machine
67,Sofianlehdonkatu,0.8190476190476187,1.240360732720146,0.9404761904761905,1.3909523809523812,2.0856578410905984,1.5119047619047619,2.4005774400454696,7.970982203775098,4.23483135714291,0.4917993625934405,0.7447779635169604,0.5647114773965379,Gradient Boosting Regressor
68,Siltavoudintie,0.2666666666666667,0.7559095580678316,0.16666666666666666,0.2576190476190477,0.6198317810294414,0.21428571428571427,1.0,7.1031832542623885,0.13090084518655948,0.2874048542294988,0.8146952863018874,0.1796280338934367,Gradient Boosting Regressor
69,Siilitie 9,0.5880952380952381,1.0936801881246327,0.9523809523809523,1.3242857142857143,1.5388271483973357,1.3095238095238095,1.4705215419501134,8.926943398778503,7.562174457259741,0.5011495548763174,0.9319873788315662,0.811578226520352,Gradient Boosting Regressor
70,Siilitie 13,0.21190476190476198,0.7078131231019357,0.09523809523809523,0.13857142857142854,0.5237133158798617,0.09523809523809523,1.274891774891775,6.867490822826878,0.08658008658008658,0.24616481323068157,0.8222499753399731,0.11063587111491302,Bayesian Ridge
71,Siilitie (M),1.204761904761905,2.545669129720853,1.7261904761904763,2.5195238095238097,7.238972751704725,3.3452380952380953,9.038177352814145,22.922153691992143,15.345864044781065,0.5184094733299681,1.0954023260486108,0.7427803718660609,Light Gradient Boosting Machine
72,Seurasaari,0.6880952380952381,3.2639131447199903,1.0238095238095237,1.3861904761904764,11.292945417476892,2.0714285714285716,2.183213412668819,24.930026203161685,6.5272160715846175,0.24387588061621213,1.1568016291274585,0.36286030679920833,Light Gradient Boosting Machine
73,Sepänkatu,2.6500000000000004,6.250462729261314,4.630952380952381,14.752857142857145,47.43496546847583,27.583333333333332,5.824873397156472,29.139079885932617,21.98885057445931,0.43898772257907154,1.0354250560693554,0.7671438638061941,Light Gradient Boosting Machine
74,Sepetlahdentie,0.5571428571428572,0.9170110994683119,0.4880952380952381,0.6719047619047619,1.0991106231834222,0.9404761904761905,2.259701739694996,7.529421236409464,0.30797830421299005,0.48759314693331635,0.8025380241891646,0.4271649364159395,Gradient Boosting Regressor
75,Senaatintori,1.185714285714286,3.519581861012956,1.4285714285714286,3.0433333333333334,13.771545314072222,2.642857142857143,5.082291963587046,22.84706849389177,10.032052303075583,0.3765468990763586,1.1177124639359992,0.4536709627426006,Light Gradient Boosting Machine
76,Saunalahdentie,0.569047619047619,1.326832770598052,0.7380952380952381,0.7242857142857143,2.0927561825563368,0.8333333333333334,1.5536560713024687,10.571411567256643,5.895076100201424,0.36909875634102435,0.8606174757745096,0.47874734086074294,Gradient Boosting Regressor
77,Sateentie,0.6309523809523809,1.347412750972354,0.8095238095238095,0.933809523809524,2.0972137704730303,0.9761904761904762,2.6195686533440834,10.704859956550292,6.144874944470313,0.37864457641287713,0.8086038594150918,0.4858081357750122,Gradient Boosting Regressor
78,Sammonpuistikko,1.4523809523809528,4.321899134551946,2.7738095238095237,3.89095238095238,21.86566072664491,9.297619047619046,5.641032750746023,23.321497556828188,15.49604535855282,0.3860874017555672,1.148893342874908,0.7373636443364519,Gradient Boosting Regressor
79,Salmisaarenranta,2.6142857142857148,5.306804351133424,4.488095238095238,16.73857142857143,40.24973352388194,46.273809523809526,2.3148473310285462,22.17160736032176,7.134675577894644,0.5083991404085649,1.0320122072693252,0.8727981599910244,Gradient Boosting Regressor
80,Ruutikatu,0.1952380952380953,0.5084475466290703,0.09523809523809523,0.1242857142857143,0.25855644012535495,0.09523809523809523,1.0,4.660609842619224,0.08658008658008658,0.2864604531271199,0.7460127820910861,0.13973680640347305,Light Gradient Boosting Machine
81,Ruskeasuon varikko,0.7999999999999997,1.2592925659472427,0.8214285714285714,1.338571428571429,1.908244884051649,0.9642857142857143,2.121647681555516,9.717343845911957,5.584631702143223,0.5369466058492083,0.8452160863206406,0.5513291042201693,Light Gradient Boosting Machine
82,Ruomelantie,0.41666666666666674,0.7605076260332986,0.32142857142857145,0.529047619047619,0.7217347259786144,0.4642857142857143,1.168831168831169,6.847219279411713,0.24033953757456064,0.4312996554875906,0.7872160250492328,0.332716877090427,Gradient Boosting Regressor
83,Rummunlyöjänkatu,0.5952380952380953,1.0643537414965984,0.8690476190476191,0.9385714285714288,1.3097605442176867,0.9642857142857143,1.9934532952966133,8.500420772507672,6.521651671421257,0.45724448315911737,0.8176053924008626,0.6675769454123113,Gradient Boosting Regressor
84,Roihupelto,0.6714285714285714,1.345118148014873,0.7976190476190477,1.2099999999999997,2.076279711486139,0.7976190476190477,3.7587095444238305,11.913280234618844,7.069160997732427,0.42611782621109734,0.8536705848094391,0.5062038006408427,Gradient Boosting Regressor
85,Ritarikatu,1.611904761904762,2.964839587189409,2.0476190476190474,5.010000000000001,10.923787056245166,5.690476190476191,4.308737574384769,17.267805598946413,11.520654355757502,0.4890247724558881,0.8994824252396959,0.6212131526027529,Gradient Boosting Regressor
86,Revontulentie,0.7857142857142856,1.409117786187323,0.8690476190476191,2.0528571428571434,2.268449689880631,1.0595238095238095,3.669638921062071,11.999181462066918,7.082521180515217,0.45912525629506756,0.8234056278422456,0.5078203592354535,Light Gradient Boosting Machine
87,Relanderinaukio,0.7714285714285714,1.4647309330236162,0.8928571428571429,1.6433333333333333,2.467441243401981,1.3690476190476188,2.255246389617526,11.007916803637524,6.153645565228452,0.497725228601409,0.945043475805767,0.576070866436816,Gradient Boosting Regressor
88,Reiherintie,0.34523809523809523,0.8233783199748547,0.2261904761904762,0.44333333333333336,0.7258260683962667,0.36904761904761907,1.1904761904761905,7.35924740433227,0.1437847866419295,0.36126274775886175,0.8615964414762781,0.23668938646270252,Gradient Boosting Regressor
89,Rautatientori / länsi,2.7690476190476194,9.210600239310487,5.9523809523809526,13.92904761904762,104.65499449295419,46.404761904761905,4.303521118220639,28.750052807640973,19.430209816469002,0.33230006709120363,1.1053197700246904,0.7143165672639803,Gradient Boosting Regressor
90,Rautatientori / itä,3.245238095238095,9.023019612242225,5.7023809523809526,22.314761904761905,97.83983107042971,43.86904761904762,12.310523275775024,42.76782247647243,29.01362508766656,0.4123539449706939,1.1465037767538735,0.7245691109352986,Gradient Boosting Regressor
91,Rautatieläisenkatu,1.3428571428571427,2.904868630418753,1.630952380952381,3.967142857142857,10.506978017124121,3.8452380952380953,4.9856817475489175,18.49021207763124,8.602844244851198,0.39797520554208754,0.8608999821112404,0.4833564109864007,Gradient Boosting Regressor
92,Ratsutori,0.7833333333333333,2.010873015873016,1.0714285714285714,1.2957142857142854,4.967877777777777,1.8333333333333333,2.700829720343899,14.609473119370374,5.1862418190460025,0.3799350632683966,0.975320638098416,0.5196680196680197,Gradient Boosting Regressor
93,Ratapihantie,2.607142857142857,4.928098439864941,3.0952380952380945,12.000476190476192,26.054586815320143,10.785714285714285,9.975530942321509,29.18793351381791,19.555189991000482,0.660943980340354,1.2493358349848744,0.7846823510890045,Light Gradient Boosting Machine
94,Rajasaarentie,0.895238095238095,3.120551480575929,1.4880952380952381,1.8528571428571428,11.325900326634123,3.0357142857142856,1.7039205195090035,20.396499776917032,9.541373943042117,0.2997360363214021,1.0447966154478165,0.4982314433533946,Light Gradient Boosting Machine
95,Radiokatu,0.5976190476190476,1.4357317499126798,0.8214285714285714,0.7480952380952383,2.4310933292740122,0.8928571428571429,2.9755953212174413,12.145112233996558,6.502633311389071,0.36904687003781,0.8866054564862812,0.5072556580200974,Light Gradient Boosting Machine
96,Päijänteentie,0.8904761904761903,2.1203283269297932,1.4166666666666667,1.6290476190476189,5.408907724460972,2.7261904761904763,3.5868364810688123,14.038238422273107,9.327539945192315,0.3699480977576215,0.8808898424895627,0.5885537918871252,Light Gradient Boosting Machine
97,Puotinkylän kartano,0.5095238095238097,0.8470650636492222,0.5119047619047619,0.852857142857143,0.9428986303863763,0.9642857142857143,1.183956084877744,6.753891979059655,0.3094307126565191,0.4900122826908543,0.8146278499023372,0.4923020597127739,Gradient Boosting Regressor
98,Puotinharju,0.4333333333333334,0.9503968253968254,0.4642857142857143,0.51,1.0913800705467374,0.7738095238095238,1.6980768847128294,8.048780172436086,0.30803425964716286,0.37063310450038145,0.8128812136249206,0.39710689767898005,Gradient Boosting Regressor
99,Puotilantie,0.3666666666666667,0.7783180103724658,0.2619047619047619,0.38619047619047614,0.67919381444863,0.38095238095238093,1.707276850133993,6.969233913187238,0.18655947227375796,0.37494374120956403,0.7958876363450088,0.2678169580068314,Bayesian Ridge
100,Puotilan ostoskeskus,0.5642857142857144,0.8593627219864843,0.7142857142857143,0.6671428571428571,0.9663053381009954,0.7619047619047619,1.8576050165911917,7.214839187451771,6.115134225733305,0.48563438514610396,0.7395829391811949,0.6147270698051948,Gradient Boosting Regressor
101,Puotila (M),0.5785714285714286,1.203127455602703,0.7380952380952381,0.729047619047619,1.7104730081609643,0.7857142857142857,2.4073619672698015,9.77232300528714,6.013093409406774,0.4098707562533929,0.852317856957951,0.5228803886360156,Light Gradient Boosting Machine
102,Puistokaari,0.7833333333333331,1.6484747933403188,0.7261904761904762,1.31952380952381,3.284945814726917,1.130952380952381,1.953550448873057,10.017109597295466,4.045789408616628,0.4042705156518385,0.8507613890332963,0.374779657367206,Gradient Boosting Regressor
103,Prinsessantie,0.4238095238095239,0.8135313531353136,0.30952380952380953,0.548095238095238,0.8033676864857633,0.5714285714285714,1.805280279147875,6.986169041659435,0.19817387413206228,0.4398725400224331,0.844365410845153,0.3212552258590803,Bayesian Ridge
104,Postipuun koulu,0.3500000000000001,0.5940682631434077,0.25,0.429047619047619,0.41415437169555236,0.36904761904761907,1.0,4.699871863040133,0.18571162580379166,0.4891045780969481,0.8301757348729801,0.34936041292639136,Orthogonal Matching Pursuit
105,Porthania,3.1619047619047613,7.3463738852431435,4.761904761904762,21.32428571428572,69.21959082425565,31.238095238095237,3.5017170018814903,32.14261092419007,16.50857870535578,0.43945541106641295,1.0210313082429041,0.6618304383530317,Gradient Boosting Regressor
106,Porolahden koulu,0.4904761904761905,1.5390570021111893,0.8571428571428571,0.5004761904761905,2.573685359994177,0.8571428571428571,3.3947639661925373,14.300042751837267,8.117913832199546,0.31464632211372634,0.9873234106787309,0.5498673590336964,Gradient Boosting Regressor
107,Pohjolankatu,0.5380952380952382,0.9749873869678273,0.8214285714285714,0.9385714285714286,1.2035077335892281,0.9642857142857143,1.0679241393527108,8.155785643741737,6.83714949394392,0.44640391868014223,0.8088497340114297,0.6814573094895975,Light Gradient Boosting Machine
108,Pohjolanaukio,0.8119047619047616,1.2737804168122018,0.9285714285714286,1.6052380952380954,2.1898162658156335,1.5952380952380953,1.6762982895996559,8.654182229282636,5.02723219287752,0.5287185004044078,0.8294954081085297,0.6046927130724902,Gradient Boosting Regressor
109,Pohjois-Haagan asema,0.6452380952380952,1.3743842364532017,0.7857142857142857,1.0052380952380955,2.302510272836839,0.9761904761904762,2.0213414836883423,10.568550832625291,5.56566240448448,0.40806995090947307,0.8692061303250513,0.4969117483399488,Gradient Boosting Regressor
110,Pohjankulma,0.7285714285714286,1.4154761904761906,1.1904761904761905,0.9861904761904763,2.6649045651318386,2.0238095238095237,2.616873142218764,9.874379530537889,8.595168272587626,0.37909110458031686,0.7365021623300599,0.6194299094449621,Gradient Boosting Regressor
111,Pitäjänmäen asema,0.5880952380952381,1.4651200567057505,0.9761904761904762,0.8576190476190477,2.3662333139529985,1.1904761904761905,3.073334137794068,12.989549301237156,7.922957801006581,0.39249635266748156,0.9778250889082265,0.6515121643468318,Gradient Boosting Regressor
