,Lat,Lon,Helsinki Central Library,Amos Rex,Helsinki Olympic Stadium,Helsinki Cathedral,Senate Square,Vanha Kauppahalli,Helsinki ZOO,Sibelius Monument,Loyly,Suomenlinna,Helsinki Market Square,Temppeliaukio Church,Seurasaari Open-Air Museum,Linnanmaki Amusement Park,Allas Sea Pool
11688,60.21952,25.09082,12.200045999999986,12.189498999999987,11.844363999999988,11.56008599999999,11.67327999999999,12.033707999999988,9.333092999999998,12.569039999999987,14.242827999999989,13.440397999999988,11.814347999999988,12.79906599999999,14.42379499999999,10.915568999999996,11.793370999999988
11689,60.22087,25.09082,12.218720999999986,12.208173999999989,11.86303899999999,11.578760999999991,11.691954999999991,12.052382999999988,9.351768,12.587714999999987,14.26150299999999,13.45907299999999,11.83302299999999,12.817740999999991,14.44246999999999,10.934243999999996,11.81204599999999
11690,60.22222,25.09082,12.654438999999986,12.648001999999988,12.296166999999988,12.017285999999993,12.130479999999988,12.485510999999988,9.784895999999998,13.020842999999987,14.701330999999989,13.892200999999988,12.266150999999988,13.257568999999991,14.882011999999989,11.372235999999996,12.251873999999988
11691,60.22357,25.09082,12.467822999999996,12.460839,12.109550999999998,11.830670000000001,11.943863999999998,12.298894999999996,9.598279999999999,12.834226999999995,14.514168000000002,13.705584999999997,12.079534999999998,13.070406000000002,14.588035000000007,11.185620000000007,12.064711
11692,60.22492,25.09082,12.491881999999999,12.484898000000001,12.133610000000001,11.854729000000003,11.967922999999999,12.322953999999998,9.622339,12.858285999999996,14.538227000000003,13.729644,12.103594000000001,13.094465000000003,14.60725700000001,11.20967900000001,12.088770000000002
11693,60.22627,25.09082,12.700157999999998,12.693174,12.341886,12.063005000000002,12.176198999999999,12.531229999999997,9.830615,13.066561999999996,14.746503000000002,13.93792,12.31187,13.302741000000003,14.57901400000001,11.417955000000012,12.297046000000002
11694,60.22762,25.09082,12.809738999999988,12.816955999999994,12.451466999999992,12.172585999999995,12.285779999999992,12.64081099999999,9.940196000000002,13.176142999999989,14.870284999999996,14.047500999999992,12.421450999999992,13.426522999999998,14.50342000000001,11.527536000000001,12.417637999999991
11695,60.22897,25.09082,13.007406999999986,13.014623999999992,12.60407,12.370253999999994,12.483447999999989,12.838478999999989,10.137864,13.373810999999987,15.067952999999994,14.245168999999988,12.619118999999989,13.624190999999994,14.580620000000009,11.725204,12.61530599999999
11696,60.23033,25.09082,13.119551999999988,13.128253999999995,12.629705000000005,12.482398999999996,12.595592999999992,12.95062399999999,10.250009000000002,13.466294000000012,15.181582999999996,14.357313999999992,12.731263999999992,13.737820999999999,14.608252000000013,11.800792000000005,12.727450999999991
11697,60.23168,25.09082,13.210898999999987,13.219600999999994,12.672400000000005,12.573745999999995,12.68693999999999,13.041970999999988,10.341356,13.506498000000013,15.272929999999995,14.448660999999989,12.82261099999999,13.829167999999996,14.648456000000014,11.843487000000005,12.81879799999999
11698,60.23303,25.09082,13.481612000000009,13.497639999999992,12.786945000000003,12.851784999999992,12.964978999999989,13.320009999999987,10.619394999999999,13.621043000000011,15.550968999999993,14.726699999999989,13.10064999999999,14.077977000000011,14.763001000000012,11.958032000000003,13.096836999999988
11699,60.23438,25.09082,13.535302999999995,13.755660999999995,12.840635999999991,13.111290999999996,13.22448499999999,13.579515999999991,10.878901,13.67548,15.808989999999996,14.98620599999999,13.360155999999991,14.132414,14.817438,12.011722999999991,13.356342999999992
11700,60.23573,25.09082,13.643938999999996,13.756735999999997,12.949271999999992,13.112365999999998,13.225559999999994,13.580590999999993,10.879976000000005,13.784116,15.810064999999998,14.987280999999994,13.361230999999995,14.241050000000001,14.926074,12.120358999999992,13.357417999999994
11701,60.23708,25.09082,13.461694999999995,13.779712999999989,12.767027999999991,13.146326999999998,13.259520999999998,13.614551999999993,10.957999000000006,13.605793000000002,15.833041999999987,15.021241999999983,13.395191999999996,14.062727000000002,14.747751000000003,11.938114999999991,13.383584999999991
11702,60.23843,25.09082,13.603115999999998,13.955582999999983,12.907784999999999,13.306881999999998,13.420075999999998,13.775106999999993,11.118554000000007,13.738904000000003,16.00891199999998,15.181796999999984,13.555746999999995,14.195838000000006,14.880862000000004,12.079535999999992,13.551933999999994
11703,60.23978,25.09082,13.619069999999995,14.03671899999998,12.923738999999996,13.387548999999993,13.500742999999993,13.855773999999988,11.199221000000003,13.754858000000002,16.090047999999978,15.26246399999998,13.636413999999991,14.211792000000003,14.896816000000003,12.095489999999991,13.63260099999999
11704,60.24113,25.09082,13.774496999999998,14.193620999999983,13.079165999999997,13.554391999999995,13.667585999999995,14.02261699999999,11.366064000000003,13.910285000000004,16.24694999999998,15.42930699999998,13.803256999999991,14.367219000000004,15.052243000000004,12.250916999999992,13.797492999999985
