,departure_name,departure_latitude,departure_longitude
27070,Maistraatintori,60.199151,24.924873
35586,Kutsuntatie,60.230453,24.824561
37860,Tontunmäentie,60.176107,24.769667
39037,Golfpolku,60.168143,24.796136
40187,Lehtisaarentie,60.1818132200983,24.8504396679317
44152,Tuulimäki,60.174144,24.806051
44458,Maarinranta,60.18734696398579,24.81075284439144
45821,Lumivaarantie,60.204669,24.814268
97874,Sateentie,60.173424,24.810688
122045,Elfvik,60.203852,24.8231
305061,Itäkeskus Metrovarikko,60.211446,25.065816
312676,Muotoilijankatu,60.209796,24.979682
405305,Haapaniemenkatu,60.1831601181109,24.9551952848703
414839,Karhupuisto,60.1842833,24.9526763
417260,Diakoniapuisto,60.186979,24.943358
467767,Käskynhaltijantie,60.2332319517011,24.9579341169413
473332,Hämeenlinnanväylä,60.227451,24.902832
474878,Ida Aalbergin tie,60.229488,24.895199
476336,Maunula,60.2303828883575,24.9325030021005
481318,Kustaankartano,60.2307028705708,24.9487651621967
504084,Kaapelitehdas,60.1618133723859,24.9065572669725
1531908,Derby Business Park,60.209017,24.835356
