,Temperature,Cloud Cover,Wind Gust,Precipitation,Sea Level Pressure,Relative Humidity,Snow Depth,Wind Speed,cal_year,cal_month,cal_day,cal_hour,date
15811,19.975000000000016,0.2916666666666667,3.7428571428571358,2.812564995717063e-15,1013.4125,67.03571428571429,0.0,2.5928571428571296,2019,8,10,14,2019-08-10 14:00:00
15812,19.2607142857143,0.8333333333333334,4.878571428571421,2.812564995717063e-15,1012.9833333333332,75.10714285714286,0.0,3.6928571428571293,2019,8,10,16,2019-08-10 16:00:00
15813,18.585714285714296,3.0416666666666665,4.878571428571421,2.812564995717063e-15,1012.8666666666667,81.35714285714286,0.0,3.778571428571415,2019,8,10,18,2019-08-10 18:00:00
15814,18.10357142857144,6.416666666666667,3.88214285714285,2.812564995717063e-15,1012.7083333333334,83.60714285714286,0.0,3.0678571428571297,2019,8,10,20,2019-08-10 20:00:00
15815,18.22857142857144,6.791666666666667,4.621428571428565,2.812564995717063e-15,1012.0916666666667,86.82142857142857,0.0,3.4214285714285575,2019,8,10,22,2019-08-10 22:00:00
15816,18.10714285714287,6.291666666666667,5.139285714285707,2.812564995717063e-15,1011.4375,87.25,0.0,3.9392857142857016,2019,8,11,0,2019-08-11 00:00:00
15817,17.621428571428584,4.041666666666667,5.335714285714279,2.812564995717063e-15,1010.6500000000001,87.07142857142857,0.0,4.071428571428558,2019,8,11,2,2019-08-11 02:00:00
15818,17.87857142857144,5.125,7.439285714285707,2.812564995717063e-15,1009.9541666666668,86.71428571428571,0.0,5.410714285714271,2019,8,11,4,2019-08-11 04:00:00
15819,17.78214285714287,6.041666666666667,9.30357142857142,2.812564995717063e-15,1009.7541666666667,84.5,0.0,6.69285714285713,2019,8,11,6,2019-08-11 06:00:00
15820,16.98214285714287,6.416666666666667,9.367857142857137,0.15000000000000283,1009.3541666666666,83.32142857142857,0.0,6.735714285714272,2019,8,11,8,2019-08-11 08:00:00
15821,16.721428571428586,7.541666666666667,11.089285714285706,0.42500000000000276,1009.0083333333333,89.92857142857143,0.0,7.789285714285701,2019,8,11,10,2019-08-11 10:00:00
15822,16.9107142857143,7.541666666666667,10.428571428571422,2.483333333333336,1008.6958333333336,94.67857142857143,0.0,7.410714285714272,2019,8,11,12,2019-08-11 12:00:00
15823,18.817857142857154,6.25,7.671428571428565,0.17500000000000282,1008.7541666666667,88.5,0.0,5.3892857142857,2019,8,11,14,2019-08-11 14:00:00
15824,18.80714285714287,6.208333333333333,6.735714285714279,2.812564995717063e-15,1008.7875,86.60714285714286,0.0,4.724999999999986,2019,8,11,16,2019-08-11 16:00:00
15825,18.325000000000014,7.041666666666667,8.246428571428565,2.812564995717063e-15,1009.2291666666666,89.42857142857143,0.0,5.846428571428559,2019,8,11,18,2019-08-11 18:00:00
15826,17.960714285714296,6.083333333333333,7.649999999999993,2.812564995717063e-15,1009.5958333333334,91.03571428571429,0.0,5.474999999999986,2019,8,11,20,2019-08-11 20:00:00
15827,17.91428571428573,4.958333333333333,8.735714285714279,2.812564995717063e-15,1009.8958333333334,92.28571428571429,0.0,6.332142857142843,2019,8,11,22,2019-08-11 22:00:00
15828,17.839285714285726,6.625,8.853571428571422,2.812564995717063e-15,1010.1541666666668,92.35714285714286,0.0,6.4214285714285575,2019,8,12,0,2019-08-12 00:00:00
15829,17.57857142857144,5.833333333333333,8.328571428571422,2.812564995717063e-15,1010.1333333333336,92.96428571428571,0.0,6.121428571428559,2019,8,12,2,2019-08-12 02:00:00
15830,17.935714285714297,5.75,7.567857142857136,0.008333333333336147,1010.4041666666666,90.92857142857143,0.0,5.514285714285701,2019,8,12,4,2019-08-12 04:00:00
15831,18.53928571428573,5.458333333333333,7.671428571428564,0.008333333333336147,1010.875,85.78571428571429,0.0,5.5607142857142735,2019,8,12,6,2019-08-12 06:00:00
15832,19.16428571428573,3.625,9.30714285714285,2.812564995717063e-15,1011.3375000000001,83.92857142857143,0.0,6.717857142857129,2019,8,12,8,2019-08-12 08:00:00
15833,19.321428571428584,4.833333333333333,8.417857142857136,0.01666666666666948,1011.3000000000001,82.60714285714286,0.0,6.078571428571415,2019,8,12,10,2019-08-12 10:00:00
15834,19.7857142857143,4.541666666666667,8.80357142857142,2.812564995717063e-15,1011.0250000000001,79.17857142857143,0.0,6.242857142857129,2019,8,12,12,2019-08-12 12:00:00
15835,19.367857142857154,4.125,10.278571428571421,2.812564995717063e-15,1010.7166666666668,77.60714285714286,0.0,6.996428571428559,2019,8,12,14,2019-08-12 14:00:00
15836,18.114285714285725,5.166666666666667,11.360714285714279,2.812564995717063e-15,1010.3625000000002,80.82142857142857,0.0,8.042857142857128,2019,8,12,16,2019-08-12 16:00:00
15837,17.089285714285726,5.083333333333333,9.049999999999994,2.812564995717063e-15,1010.0625000000001,84.89285714285714,0.0,6.478571428571414,2019,8,12,18,2019-08-12 18:00:00
15838,16.514285714285727,4.125,7.499999999999994,2.812564995717063e-15,1009.8958333333334,88.35714285714286,0.0,5.39285714285713,2019,8,12,20,2019-08-12 20:00:00
15839,16.096428571428582,1.875,6.171428571428565,2.812564995717063e-15,1009.7541666666667,91.14285714285714,0.0,4.549999999999987,2019,8,12,22,2019-08-12 22:00:00
15840,16.342857142857152,5.666666666666667,6.2928571428571365,2.812564995717063e-15,1009.4208333333332,91.82142857142857,0.0,4.69285714285713,2019,8,13,0,2019-08-13 00:00:00
15841,16.364285714285728,6.125,6.714285714285707,2.812564995717063e-15,1008.6333333333333,91.17857142857143,0.0,4.967857142857129,2019,8,13,2,2019-08-13 02:00:00
15842,16.43214285714287,7.25,7.124999999999993,2.812564995717063e-15,1008.4125,90.96428571428571,0.0,5.149999999999986,2019,8,13,4,2019-08-13 04:00:00
15843,16.764285714285727,7.708333333333333,7.189285714285709,2.812564995717063e-15,1008.375,89.60714285714286,0.0,5.214285714285701,2019,8,13,6,2019-08-13 06:00:00
15844,17.989285714285725,6.958333333333333,6.960714285714279,2.812564995717063e-15,1008.1291666666667,84.64285714285714,0.0,5.16785714285713,2019,8,13,8,2019-08-13 08:00:00
15845,18.589285714285726,5.75,7.946428571428565,2.812564995717063e-15,1007.4958333333334,81.21428571428571,0.0,5.974999999999986,2019,8,13,10,2019-08-13 10:00:00
15846,19.325000000000014,4.125,8.524999999999993,2.812564995717063e-15,1007.3041666666668,75.96428571428571,0.0,6.174999999999987,2019,8,13,12,2019-08-13 12:00:00
15847,19.47857142857144,1.3333333333333333,7.93214285714285,2.812564995717063e-15,1006.9125,77.25,0.0,5.682142857142844,2019,8,13,14,2019-08-13 14:00:00
15848,18.964285714285722,1.25,8.224999999999993,2.812564995717063e-15,1006.875,76.82142857142857,0.0,6.124999999999987,2019,8,13,16,2019-08-13 16:00:00
