,station,latitude,longitude,degree_centr,in_degree_centr,out_degree_centr,betwenneess_centr,eigenvector_centr,closeness_centr,pagerank_value,Neigh_1_dist,Neigh_2_dist,Neigh_3_dist,Neigh_1_name,Neigh_2_name,Neigh_3_name,degree_centr1,in_degree_centr1,out_degree_centr1,betwenneess_centr1,eigenvector_centr1,closeness_centr1,degree_centr2,in_degree_centr2,out_degree_centr2,betwenneess_centr2,eigenvector_centr2,closeness_centr2,degree_centr3,in_degree_centr3,out_degree_centr3,betwenneess_centr3,eigenvector_centr3,closeness_centr3
297,Jännetie,60.226769960915966,24.85354095884256,0.2052023121387283,0.10404624277456646,0.10115606936416184,0.002203763562907657,0.010247696170903587,0.4402035623409669,0.0020055148581775936,0.3932617629801937,0.8949601484215642,1.0527418050205042,Pitäjänmäen asema,Pajamäki,Mäkkylän asema,0.20809248554913293,0.10693641618497109,0.10115606936416184,0.0032431221941828306,0.009085193406367088,0.4292803970223325,0.21098265895953755,0.10404624277456646,0.10693641618497109,0.0010422851097846924,0.011358886542967047,0.43088418430884184,0.1329479768786127,0.06358381502890173,0.06936416184971098,0.0030709712461630726,0.0034025808562075776,0.4199029126213592
298,Maunula,60.2303828883575,24.9325030021005,0.14739884393063582,0.06936416184971098,0.07803468208092486,0.0004911989148480161,0.006715145873951319,0.4075382803297998,0.0013981060109478092,0.42686882191218295,0.9018125887718763,0.9960424725547907,Vesakkotie,Kustaankartano,Lepolantie,0.21098265895953755,0.10404624277456646,0.10693641618497109,0.0009099422957578265,0.014369632977208682,0.4379746835443038,0.0953757225433526,0.046242774566473986,0.04913294797687861,6.61529654933812e-05,0.0032176451830539664,0.3814773980154355,0.13872832369942195,0.07514450867052022,0.06358381502890173,0.00038107600489429146,0.007624851235959469,0.4133811230585424
299,Muusantori,60.2071193,24.8559544,0.2630057803468208,0.1329479768786127,0.13005780346820808,0.001695490140283863,0.022114893674390488,0.4625668449197861,0.0021545317593927617,0.7648236296452557,0.8529163965038107,0.9030974224473711,Teljäntie,Gallen-Kallelan tie,Ulvilantie,0.29479768786127164,0.15028901734104044,0.1445086705202312,0.0010008304387918415,0.025104157250951876,0.4613333333333333,0.21676300578034682,0.11271676300578035,0.10404624277456646,0.003564136420806053,0.011658622695679858,0.4481865284974093,0.3352601156069364,0.17630057803468208,0.15895953757225434,0.0021108039098448046,0.03590963336857019,0.49008498583569404
300,Mäkkylän asema,60.220467,24.83939,0.1329479768786127,0.06358381502890173,0.06936416184971098,0.0030709712461630726,0.0034025808562075776,0.4199029126213592,0.0016488201878062858,0.3246119029059672,0.8116834773245469,0.8320597133528951,Kalkkipellonmäki,Postipuun koulu,Kirjurinkuja,0.13005780346820808,0.05491329479768786,0.07514450867052022,0.0004948018725065901,0.0009529347015513747,0.3570691434468524,0.08959537572254335,0.04046242774566474,0.04913294797687861,5.5856692996428615e-05,0.0003786161539776739,0.3326923076923077,0.28034682080924855,0.15028901734104044,0.13005780346820808,0.010125126162724088,0.009397269207497764,0.44935064935064933
301,Pohjois-Haagan asema,60.230151499496536,24.88312884546424,0.1936416184971098,0.10404624277456646,0.08959537572254335,0.0004355109295537717,0.012950724372688694,0.43686868686868685,0.0017848892268086092,0.3840015609066188,0.6429576267130692,0.6729107519220967,Näyttelijäntie,Marttila,Ida Aalbergin tie,0.18497109826589594,0.09248554913294797,0.09248554913294797,0.000937081100908631,0.009050188515626917,0.4178743961352657,0.12716763005780346,0.057803468208092484,0.06936416184971098,0.00020344101941751236,0.005768638950386523,0.4075382803297998,0.10982658959537572,0.05491329479768786,0.05491329479768786,8.128531381970746e-05,0.005147893836249411,0.4133811230585424
302,Ruskeasuon varikko,60.20767995961701,24.89866789062813,0.3179190751445087,0.15317919075144507,0.16473988439306358,0.0006110643789491841,0.030428762845433992,0.4534731323722149,0.0021390939273056046,0.4469917028598374,0.46889077192979367,0.5143240071020939,Kriikunakuja,Korppaanmäentie,Haagan tori,0.44797687861271673,0.21965317919075145,0.22832369942196531,0.0008581317020821982,0.05166656855527847,0.4949928469241774,0.6416184971098265,0.3236994219653179,0.3179190751445087,0.004768299167875,0.07012384159790766,0.5331278890600925,0.43641618497109824,0.21387283236994217,0.22254335260115607,0.002001123883630099,0.04681821328741158,0.5133531157270029
303,Takomotie,60.2178996331627,24.8710464686467,0.27167630057803466,0.13583815028901733,0.13583815028901733,0.0016521773597149292,0.018068596998950585,0.44587628865979384,0.002282915979555386,0.37249821053231946,0.5578992177595414,0.8584383368948103,Valimotie,Valimon asema,Pajamäki,0.3872832369942196,0.1936416184971098,0.1936416184971098,0.007501544361661854,0.029195496131878666,0.49712643678160917,0.1907514450867052,0.09248554913294797,0.09826589595375722,0.003274131869320945,0.007679074067718954,0.44189016602809705,0.21098265895953755,0.10404624277456646,0.10693641618497109,0.0010422851097846924,0.011358886542967047,0.43088418430884184
304,Valimotie,60.21592223543679,24.87646479282845,0.3872832369942196,0.1936416184971098,0.1936416184971098,0.007501544361661854,0.029195496131878666,0.49712643678160917,0.0029864454300933545,0.37249821053231946,0.6120403705922068,0.7107103939764811,Takomotie,Vanha Viertotie,Valimon asema,0.27167630057803466,0.13583815028901733,0.13583815028901733,0.0016521773597149292,0.018068596998950585,0.44587628865979384,0.3179190751445087,0.15606936416184972,0.16184971098265896,0.0007679838014929058,0.027121469999438787,0.4607190412782956,0.1907514450867052,0.09248554913294797,0.09826589595375722,0.003274131869320945,0.007679074067718954,0.44189016602809705
305,Vesakkotie,60.22794236805671,24.92656476426376,0.21098265895953755,0.10404624277456646,0.10693641618497109,0.0009099422957578265,0.014369632977208682,0.4379746835443038,0.0017339961797996168,0.42686882191218295,1.2492127368871508,1.2680636033368615,Maunula,Lepolantie,Kustaankartano,0.14739884393063582,0.06936416184971098,0.07803468208092486,0.0004911989148480161,0.006715145873951319,0.4075382803297998,0.13872832369942195,0.07514450867052022,0.06358381502890173,0.00038107600489429146,0.007624851235959469,0.4133811230585424,0.0953757225433526,0.046242774566473986,0.04913294797687861,6.61529654933812e-05,0.0032176451830539664,0.3814773980154355
306,Hauenkalliontie,60.161138,24.756272,0.17052023121387283,0.08959537572254335,0.08092485549132948,0.0021425042187116186,0.0014215696831119805,0.42246642246642246,0.0024987008407686634,0.537743752520356,0.5828796399353908,0.6589496530184422,Nelikkotie,Matinkartanontie,Hauenkallio,0.20809248554913293,0.10693641618497109,0.10115606936416184,0.002081374498972043,0.0015831802589555122,0.4379746835443038,0.20231213872832368,0.10693641618497109,0.0953757225433526,0.0032998240757065684,0.0020484723711255226,0.4481865284974093,0.10982658959537572,0.04913294797687861,0.06069364161849711,0.00011520074262362638,0.0010724451052571509,0.4114149821640904
