,departure,number,departure_name,departure_latitude,departure_longitude
148,Leppävaaranaukio,103.0,Leppävaaranaukio,60.218731,24.814828
149,Leppävaarankäytävä,91.43835616438356,Leppävaarankäytävä,60.220254,24.813437
150,Liisanpuistikko,242.82608695652175,Liisanpuistikko,60.1741822,24.9613747
151,Linnakepolku,28.13953488372093,Linnakepolku,60.1637,24.790132
152,Linnanmäki,204.3586956521739,Linnanmäki,60.1911411,24.9401593
153,Linnuntie,26.0,Linnuntie,60.234401,24.813954
154,Lintulahdenkatu,210.0108695652174,Lintulahdenkatu,60.1837182,24.9621936
155,Louhentori,36.172413793103445,Louhentori,60.18715,24.796959
156,Lukutori,15.89655172413793,Lukutori,60.187086,24.742936
157,Lumivaarantie,14.18918918918919,Lumivaarantie,60.204669,24.814268
158,Luoteisväylä,85.96739130434783,Luoteisväylä,60.1654485,24.8601992
159,Lystimäensilta,13.053333333333333,Lystimäensilta,60.17471,24.752442
160,Lystimäki,17.275862068965516,Lystimäki,60.172814,24.745666
161,Läkkitori,40.86842105263158,Läkkitori,60.221019,24.813109
162,Länsisatamankatu,235.42391304347825,Länsisatamankatu,60.1589276,24.909692
163,Länsisatamankuja,169.20338983050848,Länsisatamankuja,60.15693191359567,24.912200440174857
164,Länsiterminaali,44.59322033898305,Länsiterminaali,60.150395628620245,24.915862667368163
165,Länsituuli,90.08045977011494,Länsituuli,60.175358,24.802049
166,Maarinranta,15.337837837837839,Maarinranta,60.18734696398579,24.81075284439144
167,Maistraatintori,38.880434782608695,Maistraatintori,60.199151,24.924873
168,Majurinkulma,28.253333333333334,Majurinkulma,60.210735,24.824954
169,Mamsellimyllynkatu,13.677966101694915,Mamsellimyllynkatu,60.21825196984328,25.05910387617357
170,Mankkaanaukio,21.804597701149426,Mankkaanaukio,60.194599,24.769021
171,Mankkaanlaaksontie,22.873563218390803,Mankkaanlaaksontie,60.188706,24.780478
172,Mannerheimintie,218.80434782608697,Mannerheimintie,60.1690724,24.9394195
173,Margareetankuja,26.310344827586206,Margareetankuja,60.19100958139025,25.037070035460086
174,Marian sairaala,164.65217391304347,Marian sairaala,60.1680998,24.9220763
175,Marjaniementie,38.983050847457626,Marjaniementie,60.20432489166999,25.07606935994523
176,Marjaniemi,14.779661016949152,Marjaniemi,60.20360955659899,25.086296156701028
177,Marttila,21.0,Marttila,60.227143233822176,24.873227365442304
178,Mastokatu,74.05434782608695,Mastokatu,60.1647545,24.9674861
179,Matinkartanontie,50.358695652173914,Matinkartanontie,60.156258,24.752489
180,Matinkyläntie,43.264367816091955,Matinkyläntie,60.155689,24.744978
181,Matinlahdenranta,54.18390804597701,Matinlahdenranta,60.151041,24.754196
182,Maunula,27.64406779661017,Maunula,60.2303828883575,24.9325030021005
183,Meilahden sairaala,53.119565217391305,Meilahden sairaala,60.1902195,24.9083351
184,Melkonkuja,75.0,Melkonkuja,60.1498127,24.8861094
185,Mellstenintie,76.33333333333333,Mellstenintie,60.154941,24.773993
186,Merihaka,133.34426229508196,Merihaka,60.17806592826971,24.958452215046275
187,Merisotilaantori,77.8586956521739,Merisotilaantori,60.1678703,24.9755341
188,Messeniuksenkatu,201.93478260869566,Messeniuksenkatu,60.1878352,24.9180102
189,Metsänneidonpolku,21.080459770114942,Metsänneidonpolku,60.186731,24.806152
190,Munkkiniemen aukio,111.03260869565217,Munkkiniemen aukio,60.1967196,24.8840917
191,Muotoilijankatu,49.148148148148145,Muotoilijankatu,60.209796,24.979682
192,Mustikkamaa,105.43103448275862,Mustikkamaa,60.181861779166056,24.992037110168354
193,Muurarinkuja,29.342105263157894,Muurarinkuja,60.223769,24.812271
194,Muusantori,38.70652173913044,Muusantori,60.2071193,24.8559544
195,Myllypuro (M),34.644067796610166,Myllypuro (M),60.22408646778726,25.075395792228694
196,Mäkelänkatu,83.93478260869566,Mäkelänkatu,60.1896352,24.9635596
197,Mäkitorpantie,17.098360655737704,Mäkitorpantie,60.230141,24.962531
198,Mäkkylän asema,16.76,Mäkkylän asema,60.220467,24.83939
199,Mäntyviita,35.60919540229885,Mäntyviita,60.178702,24.810974
200,Narinkka,237.16304347826087,Narinkka,60.1700420359,24.93460698
201,Nelikkotie,32.48275862068966,Nelikkotie,60.161588,24.74663
202,Niittykumpu (M),143.13793103448276,Niittykumpu (M),60.170758,24.763184
203,Niittymaa,88.45977011494253,Niittymaa,60.171127,24.775913
204,Nokkala,47.119565217391305,Nokkala,60.147974,24.754344
205,Nordenskiöldinaukio,105.16666666666667,Nordenskiöldinaukio,60.18523632967096,24.91724984112588
206,Nuottaniementie,21.126436781609197,Nuottaniementie,60.147921,24.741546
207,Näkinsilta,202.02173913043478,Näkinsilta,60.179765,24.9554618
208,Näyttelijäntie,33.08474576271186,Näyttelijäntie,60.23285213757895,24.887434554817386
209,Olarinluoma,18.091954022988507,Olarinluoma,60.180848,24.760606
210,Olympiastadion,198.54347826086956,Olympiastadion,60.1845055,24.9249741
211,Ooppera,264.10869565217394,Ooppera,60.1825529,24.926687
212,Opastinsilta,47.1,Opastinsilta,60.199235425819,24.937826370875783
213,Oravannahkatori,30.873563218390803,Oravannahkatori,60.175769,24.792559
214,Orionintie,5.423076923076923,Orionintie,60.180118,24.771826
215,Orpaanporras,24.423728813559322,Orpaanporras,60.22356519670723,25.0654218381558
216,Otaranta,69.4367816091954,Otaranta,60.18483,24.837133
217,Otsolahti,51.310344827586206,Otsolahti,60.178655,24.817423
218,Otto Brandtin tie,35.8,Otto Brandtin tie,60.23178406584145,24.978138919040457
219,Oulunkylän asema,55.67796610169491,Oulunkylän asema,60.2291001633593,24.9667185624346
220,Outotec,8.225806451612904,Outotec,60.163412,24.742219
221,Paavalinpuisto,97.3695652173913,Paavalinpuisto,60.1974886,24.9614385
222,Paciuksenkaari,102.3804347826087,Paciuksenkaari,60.1944475,24.8911179
223,Paciuksenkatu,80.85555555555555,Paciuksenkatu,60.191524,24.901008
224,Painiitty,17.85333333333333,Painiitty,60.235089,24.831397
225,Pajamäki,33.25,Pajamäki,60.218807358014985,24.85566795479381
226,Pasilan asema,262.2258064516129,Pasilan asema,60.198210866794,24.9327990790329
227,Pernajantie,118.8804347826087,Pernajantie,60.1942342,24.9579931
228,Perämiehenkatu,104.78888888888889,Perämiehenkatu,60.1600875931318,24.9340656851357
229,Petter Wetterin tie,162.27118644067798,Petter Wetterin tie,60.19313762536413,25.031111942585127
230,Peukaloisentie,25.862068965517242,Peukaloisentie,60.1987054995554,25.05854933123242
231,Pihlajamäki,22.338983050847457,Pihlajamäki,60.234578571034135,25.01031390508104
232,Piispankallio,17.2183908045977,Piispankallio,60.168441,24.743532
233,Piispanportti,35.44827586206897,Piispanportti,60.165603,24.732688
234,Piispansilta,139.2173913043478,Piispansilta,60.162403,24.738416
235,Pitäjänmäen asema,34.93103448275862,Pitäjänmäen asema,60.22431428805152,24.85863812462164
236,Pohjankulma,53.49425287356322,Pohjankulma,60.18288,24.794014
237,Pohjois-Haagan asema,37.76271186440678,Pohjois-Haagan asema,60.230151499496536,24.88312884546424
238,Pohjolanaukio,45.57608695652174,Pohjolanaukio,60.2172043,24.9544112
239,Pohjolankatu,29.097826086956523,Pohjolankatu,60.213421,24.9437964
240,Porolahden koulu,46.101694915254235,Porolahden koulu,60.19553971683871,25.053580944057305
241,Porthania,207.32608695652175,Porthania,60.16986222858,24.9481463998
242,Postipuun koulu,13.16,Postipuun koulu,60.223827,24.826396
243,Prinsessantie,17.45762711864407,Prinsessantie,60.206340232662725,25.06009233354084
244,Puistokaari,71.51086956521739,Puistokaari,60.157875,24.86202
245,Puotila (M),36.355932203389834,Puotila (M),60.21482071331432,25.09112452769074
246,Puotilan ostoskeskus,30.491525423728813,Puotilan ostoskeskus,60.21270057142605,25.095559512793297
247,Puotilantie,23.389830508474578,Puotilantie,60.20905963366239,25.100426060233303
248,Puotinharju,29.135593220338983,Puotinharju,60.21249416558419,25.08232209439382
249,Puotinkylän kartano,26.016949152542374,Puotinkylän kartano,60.21250990784526,25.10619874297898
250,Päijänteentie,66.6413043478261,Päijänteentie,60.1920576,24.9642238
251,Radiokatu,33.96739130434783,Radiokatu,60.20499,24.918419
252,Rajasaarentie,117.91304347826087,Rajasaarentie,60.183137,24.911127
